Title,Year,Category,Sender,Reciever,Description,Link,Latitude,Longitude
Military medical diplomacy,2023,Military medical diplomacy,China,Vanuatu,"Chinese, Vanuatu military doctors complete tumor resection operation on Peace Ark",http://eng.mod.gov.cn/xb/Milit...,-17.734818,168.322021
HADR – disaster response,2023,HADR – disaster response,Australia,Vanuatu,ADF wraps up Operation Vanuatu Assist after cyclones,https://www.defenceconnect.com...,-19.25359608,169.5996172
HADR – disaster response,2023,HADR – disaster response,Australia,Vanuatu,HMAS Canberra arrives in Vanuatu following tropical cyclones Judy and Kevin,https://twitter.com/DefenceAus...,-17.7499263,168.2987171
Maritime security,2023,Maritime security,Australia,Vanuatu,Defence supports Pacific Partners to combat illegal fishing in the region,https://www.defence.gov.au/new...,-5.237060032,178.6685158
Visit diplomacy,2023,Visit diplomacy,France,Vanuatu,France's surveillance frigate Vendémiaire visits Port Vila,https://twitter.com/jeangene_v...,-17.73845104,168.296284
MIL-POL engagement,2023,MIL-POL engagement,China,Vanuatu,Chinese police experts arrive in Vanuatu amid political crisis,https://www.reuters.com/world/...,-17.734818,168.322021
